gvkey,iid,datadate,tic,conm,curcdd,prccd,exchg
5643,4,20150731,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.85,11
5643,4,20150803,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.53,11
5643,4,20150804,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.16,11
5643,4,20150805,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.78,11
5643,4,20150806,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.69,11
5643,4,20150807,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.91,11
5643,4,20150810,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.21,11
5643,4,20150811,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.92,11
5643,4,20150812,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.84,11
5643,4,20150813,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.84,11
5643,4,20150814,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.62,11
5643,4,20150817,HLT,HILTON WORLDWIDE HOLDINGS,USD,26.02,11
5643,4,20150818,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.84,11
5643,4,20150819,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.71,11
5643,4,20150820,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.96,11
5643,4,20150821,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.5,11
5643,4,20150824,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.7,11
5643,4,20150825,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.54,11
5643,4,20150826,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.33,11
5643,4,20150827,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.88,11
5643,4,20150828,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.04,11
5643,4,20150831,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.83,11
5643,4,20150901,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.1,11
5643,4,20150902,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.39,11
5643,4,20150903,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.72,11
5643,4,20150904,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.6,11
5643,4,20150908,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.35,11
5643,4,20150909,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.4,11
5643,4,20150910,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.46,11
5643,4,20150911,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.59,11
5643,4,20150914,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.47,11
5643,4,20150915,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.01,11
5643,4,20150916,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.47,11
5643,4,20150917,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.42,11
5643,4,20150918,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.96,11
5643,4,20150921,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.03,11
5643,4,20150922,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.68,11
5643,4,20150923,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.36,11
5643,4,20150924,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.19,11
5643,4,20150925,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.09,11
5643,4,20150928,HLT,HILTON WORLDWIDE HOLDINGS,USD,22.04,11
5643,4,20150929,HLT,HILTON WORLDWIDE HOLDINGS,USD,21.9,11
5643,4,20150930,HLT,HILTON WORLDWIDE HOLDINGS,USD,22.94,11
5643,4,20151001,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.48,11
5643,4,20151002,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.58,11
5643,4,20151005,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.96,11
5643,4,20151006,HLT,HILTON WORLDWIDE HOLDINGS,USD,23.79,11
5643,4,20151007,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.21,11
5643,4,20151008,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.89,11
5643,4,20151009,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.21,11
5643,4,20151012,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.22,11
5643,4,20151013,HLT,HILTON WORLDWIDE HOLDINGS,USD,25,11
5643,4,20151014,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.42,11
5643,4,20151015,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.68,11
5643,4,20151016,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.22,11
5643,4,20151019,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.17,11
5643,4,20151020,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.92,11
5643,4,20151021,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.55,11
5643,4,20151022,HLT,HILTON WORLDWIDE HOLDINGS,USD,25.22,11
5643,4,20151023,HLT,HILTON WORLDWIDE HOLDINGS,USD,24.56,11
5643,4,20151026,HLT,HILTON WORLDWIDE HOLDINGS,USD,25,11
