PERMNO,date,NCUSIP,TICKER,COMNAM,TSYMBOL,PERMCO,CUSIP,PRC,vwretx,ewretx,sprtrn
83435,20160603,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.6,-0.001939,-0.0001,-0.002912
83435,20160606,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.07,0.006118,0.010954,0.004897
83435,20160607,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.73,0.002106,0.004172,0.001289
83435,20160608,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.97,0.003375,0.006397,0.003309
83435,20160609,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.35,-0.002855,-0.005696,-0.001718
83435,20160610,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.83,-0.011245,-0.01376,-0.009175
83435,20160613,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.47,-0.008407,-0.009941,-0.008115
83435,20160614,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.4,-0.002909,-0.005369,-0.001799
83435,20160615,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.32,-0.000573,0.00375,-0.001841
83435,20160616,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.39,0.001789,-0.002328,0.003133
83435,20160617,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.94,-0.001856,0.001379,-0.003258
83435,20160620,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.29,0.007213,0.009902,0.005808
83435,20160621,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.4,0.002174,-0.001322,0.002712
83435,20160622,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.36,-0.002003,-0.002512,-0.001652
83435,20160623,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.78,0.014412,0.014291,0.013364
83435,20160624,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.24,-0.036623,-0.030482,-0.03592
83435,20160627,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.22,-0.020307,-0.025621,-0.018097
83435,20160628,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.04,0.017775,0.018669,0.01777
83435,20160629,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.86,0.0175,0.016106,0.017033
83435,20160630,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.56,0.013159,0.009792,0.013565
83435,20160701,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.99,0.002848,0.007543,0.001949
83435,20160705,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.5,-0.008273,-0.011121,-0.006848
83435,20160706,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.51,0.005139,0.004258,0.005353
83435,20160707,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.52,-0.000777,0.001,-0.000872
83435,20160708,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.74,0.015463,0.016875,0.015253
