gvkey,iid,datadate,conm,curcdd,prccd,exchg
015362,01W,20141114,WESTPAC BANKING,AUD,33.0300,106
015362,01W,20141117,WESTPAC BANKING,AUD,32.7200,106
015362,01W,20141118,WESTPAC BANKING,AUD,32.7600,106
015362,01W,20141119,WESTPAC BANKING,AUD,32.7900,106
015362,01W,20141120,WESTPAC BANKING,AUD,32.5300,106
015362,01W,20141121,WESTPAC BANKING,AUD,32.2500,106
015362,01W,20141124,WESTPAC BANKING,AUD,32.5000,106
015362,01W,20141125,WESTPAC BANKING,AUD,32.6000,106
015362,01W,20141126,WESTPAC BANKING,AUD,33.0700,106
015362,01W,20141127,WESTPAC BANKING,AUD,33.2300,106
015362,01W,20141128,WESTPAC BANKING,AUD,32.5500,106
015362,01W,20141201,WESTPAC BANKING,AUD,32.2400,106
015362,01W,20141202,WESTPAC BANKING,AUD,32.7300,106
015362,01W,20141203,WESTPAC BANKING,AUD,32.8400,106
015362,01W,20141204,WESTPAC BANKING,AUD,33.4000,106
015362,01W,20141205,WESTPAC BANKING,AUD,33.0100,106
015362,01W,20141208,WESTPAC BANKING,AUD,33.3500,106
015362,01W,20141209,WESTPAC BANKING,AUD,33.0600,106
015362,01W,20141210,WESTPAC BANKING,AUD,32.5200,106
015362,01W,20141211,WESTPAC BANKING,AUD,32.2400,106
015362,01W,20141212,WESTPAC BANKING,AUD,32.0500,106
015362,01W,20141215,WESTPAC BANKING,AUD,31.8200,106
015362,01W,20141216,WESTPAC BANKING,AUD,31.5700,106
015362,01W,20141217,WESTPAC BANKING,AUD,31.3300,106
015362,01W,20141218,WESTPAC BANKING,AUD,31.5800,106
015362,01W,20141219,WESTPAC BANKING,AUD,32.4800,106
015362,01W,20141222,WESTPAC BANKING,AUD,33.0000,106
015362,01W,20141223,WESTPAC BANKING,AUD,32.7500,106
015362,01W,20141224,WESTPAC BANKING,AUD,32.9000,106
015362,01W,20141225,WESTPAC BANKING,AUD,32.9000,106
015362,01W,20141226,WESTPAC BANKING,AUD,32.9000,106
015362,01W,20141229,WESTPAC BANKING,AUD,33.3400,106
015362,01W,20141230,WESTPAC BANKING,AUD,33.2000,106
015362,01W,20141231,WESTPAC BANKING,AUD,33.1600,106
015362,01W,20150101,WESTPAC BANKING,AUD,33.1600,106
015362,01W,20150102,WESTPAC BANKING,AUD,33.2700,106
